Id,SalePrice
1461,115000
1462,161500
1463,173000
1464,181000
1465,171500
1466,187500
1467,134000
1468,169000
1469,176000
1470,112500
1471,181000
1472,83000
1473,106000
1474,148500
1475,148500
1476,446261
1477,255000
1478,307000
1479,271000
1480,160000
1481,255000
1482,202500
1483,254000
1484,160200
1485,167500
1486,183500
1487,285000
1488,232000
1489,208300
1490,201000
1491,180000
1492,109900
1493,215000
1494,361919
1495,271000
1496,201000
1497,224500
1498,151000
1499,151000
1500,156932
1501,168500
1502,144152
1503,282922
1504,230000
1505,208900
1506,190000
1507,335000
1508,185000
1509,175900
1510,162500
1511,180500
1512,157500
1513,140000
1514,136500
1515,124500
1516,140000
1517,155000
1518,124000
1519,226000
1520,119000
1521,157900
1522,161500
1523,135000
1524,144000
1525,115000
1526,123000
1527,79900
1528,105000
1529,155000
1530,160000
1531,131000
1532,119000
1533,153500
1534,115000
1535,149000
1536,143000
1537,134900
1538,122000
1539,161000
1540,55000
1541,131000
1542,152000
1543,239000
1544,109500
1545,128000
1546,132000
1547,119000
1548,125500
1549,132000
1550,130000
1551,155000
1552,117000
1553,178900
1554,161000
1555,163500
1556,91000
1557,67000
1558,109000
1559,128500
1560,95000
1561,136500
1562,110000
1563,110000
1564,194000
1565,154000
1566,196000
1567,105000
1568,240000
1569,152000
1570,151000
1571,135000
1572,157000
1573,190000
1574,133900
1575,260000
1576,284000
1577,194000
1578,144000
1579,145000
1580,175900
1581,136500
1582,123000
1583,315000
1584,250000
1585,144000
1586,80000
1587,145000
1588,277000
1589,108000
1590,144000
1591,108000
1592,118500
1593,141000
1594,107500
1595,144000
1596,213000
1597,200000
1598,173000
1599,187500
1600,187500
1601,86000
1602,134900
1603,110000
1604,275000
1605,210000
1606,143500
1607,171000
1608,230000
1609,186000
1610,167500
1611,134000
1612,187100
1613,179000
1614,129000
1615,118000
1616,97000
1617,88000
1618,129500
1619,129500
1620,171000
1621,129500
1622,171000
1623,275000
1624,213500
1625,123000
1626,180500
1627,181000
1628,281213
1629,164000
1630,190000
1631,222000
1632,278000
1633,180000
1634,192000
1635,187500
1636,176000
1637,135000
1638,190000
1639,181000
1640,250000
1641,152000
1642,335000
1643,280000
1644,255000
1645,175000
1646,155000
1647,197500
1648,124000
1649,135000
1650,110000
1651,97000
1652,100000
1653,106000
1654,155000
1655,128000
1656,148500
1657,155000
1658,146000
1659,125000
1660,180500
1661,315000
1662,348000
1663,315000
1664,315000
1665,318000
1666,284000
1667,438780
1668,266000
1669,201000
1670,320000
1671,320000
1672,340000
1673,299800
1674,250000
1675,224000
1676,207500
1677,224000
1678,385000
1679,350000
1680,320000
1681,192000
1682,275000
1683,171750
1684,174000
1685,174000
1686,192000
1687,160000
1688,214000
1689,225000
1690,184000
1691,162000
1692,255000
1693,167500
1694,180000
1695,170000
1696,214000
1697,170000
1698,310000
1699,270000
1700,228500
1701,268000
1702,250000
1703,232000
1704,306000
1705,270000
1706,320000
1707,192000
1708,171750
1709,270000
1710,282922
1711,239900
1712,232000
1713,248328
1714,201000
1715,197000
1716,178000
1717,142500
1718,141000
1719,200000
1720,250000
1721,155000
1722,141000
1723,159000
1724,192000
1725,236000
1726,212000
1727,179200
1728,205000
1729,167900
1730,197000
1731,137000
1732,146000
1733,131000
1734,142000
1735,108000
1736,129000
1737,250000
1738,213000
1739,333168
1740,142600
1741,230000
1742,168500
1743,165000
1744,307000
1745,235000
1746,160000
1747,197900
1748,176000
1749,181000
1750,143000
1751,226000
1752,130000
1753,167000
1754,197500
1755,181000
1756,129000
1757,120000
1758,110000
1759,168000
1760,163000
1761,167000
1762,215000
1763,153000
1764,139000
1765,240000
1766,166000
1767,217000
1768,135000
1769,157000
1770,142000
1771,157900
1772,145250
1773,139000
1774,180500
1775,142000
1776,123000
1777,123000
1778,142000
1779,149900
1780,155000
1781,132000
1782,100000
1783,153900
1784,109000
1785,67000
1786,135000
1787,140000
1788,84500
1789,134900
1790,105000
1791,200000
1792,143000
1793,156000
1794,127500
1795,150000
1796,148000
1797,114500
1798,142000
1799,80000
1800,120000
1801,118500
1802,140000
1803,140000
1804,165500
1805,113000
1806,141000
1807,87000
1808,167500
1809,130500
1810,152000
1811,124000
1812,85000
1813,125500
1814,85000
1815,86000
1816,100000
1817,134900
1818,177000
1819,120000
1820,67000
1821,115000
1822,157500
1823,81000
1824,164900
1825,140000
1826,79000
1827,79900
1828,152000
1829,100000
1830,87000
1831,136000
1832,107500
1833,143000
1834,79000
1835,160000
1836,117500
1837,85000
1838,159500
1839,112000
1840,179000
1841,158500
1842,98000
1843,149900
1844,148000
1845,178000
1846,155000
1847,144500
1848,86000
1849,162000
1850,136500
1851,138887
1852,139400
1853,149900
1854,142500
1855,187500
1856,152000
1857,160000
1858,167500
1859,118858
1860,135000
1861,118858
1862,192000
1863,192000
1864,192000
1865,385000
1866,337500
1867,270000
1868,223000
1869,193879
1870,255000
1871,204900
1872,195000
1873,240000
1874,156000
1875,235000
1876,231500
1877,192000
1878,213000
1879,149900
1880,149900
1881,270000
1882,214000
1883,191000
1884,230000
1885,215000
1886,230000
1887,213000
1888,270000
1889,156932
1890,149900
1891,140000
1892,110000
1893,202500
1894,118000
1895,157900
1896,117000
1897,110000
1898,96500
1899,116000
1900,96500
1901,117000
1902,157900
1903,124900
1904,154000
1905,167000
1906,130000
1907,159500
1908,151000
1909,124000
1910,124000
1911,215000
1912,345000
1913,233000
1914,55000
1915,275000
1916,60000
1917,238000
1918,144000
1919,165000
1920,162900
1921,320000
1922,255000
1923,215000
1924,222000
1925,225000
1926,385000
1927,127000
1928,148000
1929,133900
1930,145000
1931,123000
1932,129500
1933,130500
1934,181000
1935,185000
1936,181000
1937,187500
1938,167500
1939,256000
1940,189000
1941,181000
1942,185000
1943,180000
1944,325000
1945,377426
1946,240000
1947,240000
1948,149500
1949,190000
1950,175500
1951,190000
1952,180000
1953,151000
1954,228500
1955,147000
1956,250000
1957,152000
1958,271000
1959,139000
1960,118500
1961,115000
1962,83000
1963,83000
1964,106000
1965,151000
1966,127500
1967,227000
1968,340000
1969,315000
1970,315000
1971,385000
1972,348000
1973,233000
1974,345000
1975,160000
1976,227000
1977,315000
1978,320000
1979,284000
1980,202500
1981,271000
1982,197000
1983,197000
1984,175500
1985,192000
1986,272000
1987,162000
1988,178000
1989,183500
1990,195000
1991,224000
1992,179000
1993,178000
1994,200000
1995,215000
1996,192000
1997,315000
1998,270000
1999,280000
2000,290000
2001,350000
2002,232000
2003,270000
2004,270000
2005,192000
2006,197000
2007,232000
2008,195400
2009,200000
2010,180000
2011,141000
2012,178000
2013,177500
2014,173000
2015,212000
2016,207500
2017,179200
2018,138000
2019,141000
2020,125000
2021,110000
2022,175000
2023,139000
2024,290000
2025,315000
2026,173000
2027,151000
2028,146000
2029,172500
2030,232000
2031,232000
2032,392000
2033,205000
2034,168500
2035,193000
2036,137500
2037,137500
2038,287000
2039,215000
2040,250000
2041,212000
2042,205000
2043,179200
2044,236500
2045,197500
2046,210000
2047,130500
2048,129000
2049,124000
2050,171000
2051,123000
2052,140000
2053,141000
2054,80000
2055,167000
2056,120000
2057,139000
2058,159000
2059,139000
2060,124000
2061,220000
2062,139000
2063,109500
2064,128500
2065,122000
2066,174000
2067,197000
2068,124000
2069,83000
2070,120000
2071,82000
2072,149700
2073,133000
2074,153000
2075,141000
2076,110000
2077,141000
2078,119000
2079,131000
2080,124000
2081,115000
2082,141000
2083,140000
2084,124000
2085,155000
2086,164000
2087,105000
2088,98000
2089,80000
2090,125000
2091,93000
2092,109900
2093,87000
2094,93500
2095,140000
2096,123000
2097,110500
2098,117000
2099,81000
2100,100000
2101,125000
2102,120000
2103,119900
2104,106000
2105,79000
2106,107500
2107,234000
2108,157900
2109,107000
2110,120000
2111,159500
2112,127000
2113,117000
2114,79000
2115,127000
2116,132000
2117,118500
2118,131000
2119,102000
2120,105000
2121,80000
2122,135500
2123,97000
2124,133900
2125,87000
2126,140000
2127,133900
2128,115000
2129,142500
2130,177500
2131,145900
2132,127000
2133,119900
2134,118500
2135,134900
2136,97000
2137,109000
2138,155000
2139,134000
2140,127000
2141,151000
2142,137000
2143,148000
2144,98600
2145,108000
2146,134000
2147,150000
2148,112000
2149,270000
2150,190000
2151,135000
2152,235000
2153,161500
2154,98000
2155,105000
2156,281213
2157,193000
2158,215000
2159,215000
2160,162000
2161,270000
2162,385000
2163,377500
2164,168500
2165,163500
2166,145000
2167,392000
2168,200000
2169,227000
2170,230000
2171,148000
2172,107000
2173,128500
2174,240000
2175,224000
2176,290000
2177,237000
2178,195000
2179,143000
2180,217000
2181,192000
2182,245000
2183,194000
2184,118000
2185,148000
2186,155000
2187,134000
2188,149500
2189,345000
2190,105000
2191,98000
2192,127500
2193,84500
2194,126000
2195,118500
2196,101800
2197,127000
2198,141000
2199,172500
2200,127500
2201,132000
2202,155000
2203,134900
2204,135000
2205,119500
2206,150000
2207,197000
2208,226000
2209,228000
2210,151000
2211,119000
2212,125500
2213,125500
2214,175000
2215,106500
2216,124500
2217,83000
2218,97000
2219,109000
2220,137500
2221,275000
2222,275000
2223,222500
2224,210000
2225,127000
2226,175000
2227,215000
2228,212900
2229,255000
2230,167500
2231,222000
2232,163500
2233,175000
2234,192000
2235,202500
2236,260400
2237,385000
2238,206300
2239,141000
2240,148000
2241,171000
2242,131500
2243,127000
2244,91000
2245,91000
2246,132500
2247,118000
2248,130500
2249,110000
2250,131000
2251,160000
2252,167000
2253,178000
2254,187500
2255,196500
2256,174000
2257,236000
2258,173000
2259,169000
2260,142500
2261,164000
2262,180000
2263,345000
2264,385000
2265,196000
2266,235000
2267,268000
2268,160000
2269,152000
2270,130500
2271,175500
2272,215000
2273,175500
2274,175500
2275,143000
2276,187500
2277,175000
2278,140000
2279,149000
2280,136000
2281,181000
2282,181000
2283,88000
2284,118000
2285,128000
2286,119000
2287,374000
2288,318000
2289,350000
2290,385000
2291,285000
2292,284000
2293,385000
2294,287000
2295,385000
2296,239000
2297,233000
2298,320000
2299,340000
2300,341000
2301,239900
2302,284000
2303,271000
2304,284000
2305,207500
2306,207500
2307,194700
2308,209500
2309,227000
2310,254000
2311,171750
2312,177500
2313,177500
2314,176000
2315,177500
2316,177500
2317,169990
2318,225000
2319,174000
2320,160000
2321,272000
2322,159895
2323,190000
2324,167500
2325,201000
2326,178000
2327,195000
2328,225000
2329,200000
2330,175000
2331,270000
2332,310000
2333,333168
2334,309000
2335,274300
2336,290000
2337,250580
2338,232000
2339,220000
2340,385000
2341,208900
2342,214000
2343,264132
2344,254900
2345,250000
2346,213500
2347,197000
2348,213500
2349,130500
2350,270000
2351,320000
2352,232000
2353,200000
2354,141000
2355,141000
2356,144000
2357,191000
2358,175900
2359,120000
2360,125000
2361,132000
2362,240000
2363,156000
2364,156000
2365,270000
2366,160200
2367,220000
2368,208900
2369,278000
2370,168500
2371,177500
2372,224000
2373,239000
2374,266000
2375,215000
2376,260000
2377,196000
2378,140000
2379,200000
2380,155000
2381,175500
2382,215000
2383,205000
2384,154300
2385,155000
2386,119000
2387,118000
2388,90000
2389,129500
2390,134000
2391,132000
2392,109500
2393,160000
2394,156000
2395,263435
2396,165000
2397,217000
2398,180500
2399,86000
2400,80000
2401,138500
2402,142000
2403,124000
2404,143500
2405,165000
2406,129000
2407,123600
2408,156000
2409,124000
2410,176000
2411,115000
2412,157900
2413,139000
2414,144000
2415,167000
2416,127500
2417,127500
2418,136000
2419,135500
2420,122000
2421,135000
2422,117500
2423,117000
2424,159000
2425,134432
2426,117000
2427,128000
2428,140000
2429,110000
2430,142000
2431,115000
2432,133700
2433,134000
2434,143000
